branch,address,latitude,longitude,district,forecast_day,hour,temperature,content,wind,humidity,uv_index,scraped_at
XÔ VIẾT NGHỆ TĨNH,"693 XÔ VIẾT NGHỆ TĨNH , PHƯỜNG 26, Quận Bình Thạnh",10.812628,106.715197,Bình Thạnh,hôm nay,14,30°,Mưa rào,TTN 28 km/h,76%,3.9 (Trung bình),2025-08-25 13:55:22.973404
XÔ VIẾT NGHỆ TĨNH,"693 XÔ VIẾT NGHỆ TĨNH , PHƯỜNG 26, Quận Bình Thạnh",10.812628,106.715197,Bình Thạnh,hôm nay,15,30°,Có mây,TTN 28 km/h,73%,2.3 (Thấp),2025-08-25 13:55:22.973404
XÔ VIẾT NGHỆ TĨNH,"693 XÔ VIẾT NGHỆ TĨNH , PHƯỜNG 26, Quận Bình Thạnh",10.812628,106.715197,Bình Thạnh,hôm nay,16,29°,Có mây,TTN 26 km/h,73%,0.6 (Thấp),2025-08-25 13:55:22.973404
XÔ VIẾT NGHỆ TĨNH,"693 XÔ VIẾT NGHỆ TĨNH , PHƯỜNG 26, Quận Bình Thạnh",10.812628,106.715197,Bình Thạnh,hôm nay,17,29°,Mưa,TTN 22 km/h,75%,0.3 (Thấp),2025-08-25 13:55:22.973404
XÔ VIẾT NGHỆ TĨNH,"693 XÔ VIẾT NGHỆ TĨNH , PHƯỜNG 26, Quận Bình Thạnh",10.812628,106.715197,Bình Thạnh,hôm nay,18,28°,Mưa,TN 20 km/h,80%,0.0 (Thấp),2025-08-25 13:55:22.973404
XÔ VIẾT NGHỆ TĨNH,"693 XÔ VIẾT NGHỆ TĨNH , PHƯỜNG 26, Quận Bình Thạnh",10.812628,106.715197,Bình Thạnh,hôm nay,19,27°,Có mây,TN 17 km/h,83%,,2025-08-25 13:55:22.973404
XÔ VIẾT NGHỆ TĨNH,"693 XÔ VIẾT NGHỆ TĨNH , PHƯỜNG 26, Quận Bình Thạnh",10.812628,106.715197,Bình Thạnh,hôm nay,20,27°,Có mây,TN 17 km/h,86%,,2025-08-25 13:55:22.973404
XÔ VIẾT NGHỆ TĨNH,"693 XÔ VIẾT NGHỆ TĨNH , PHƯỜNG 26, Quận Bình Thạnh",10.812628,106.715197,Bình Thạnh,hôm nay,21,27°,Có mây,TN 17 km/h,87%,,2025-08-25 13:55:22.973404
XÔ VIẾT NGHỆ TĨNH,"693 XÔ VIẾT NGHỆ TĨNH , PHƯỜNG 26, Quận Bình Thạnh",10.812628,106.715197,Bình Thạnh,hôm nay,22,27°,Có mây,TN 15 km/h,88%,,2025-08-25 13:55:22.973404
XÔ VIẾT NGHỆ TĨNH,"693 XÔ VIẾT NGHỆ TĨNH , PHƯỜNG 26, Quận Bình Thạnh",10.812628,106.715197,Bình Thạnh,hôm nay,23,26°,Có mây,TN 15 km/h,89%,,2025-08-25 13:55:22.973404
XÔ VIẾT NGHỆ TĨNH,"693 XÔ VIẾT NGHỆ TĨNH , PHƯỜNG 26, Quận Bình Thạnh",10.812628,106.715197,Bình Thạnh,ngày mai,00,26°,Có mây,TN 15 km/h,90%,,2025-08-25 13:55:22.973404
XÔ VIẾT NGHỆ TĨNH,"693 XÔ VIẾT NGHỆ TĨNH , PHƯỜNG 26, Quận Bình Thạnh",10.812628,106.715197,Bình Thạnh,ngày mai,01,26°,Mưa dông,TN 15 km/h,90%,,2025-08-25 13:55:22.973404
XÔ VIẾT NGHỆ TĨNH,"693 XÔ VIẾT NGHỆ TĨNH , PHƯỜNG 26, Quận Bình Thạnh",10.812628,106.715197,Bình Thạnh,ngày mai,02,26°,Mưa dông,TN 13 km/h,91%,,2025-08-25 13:55:22.973404
XÔ VIẾT NGHỆ TĨNH,"693 XÔ VIẾT NGHỆ TĨNH , PHƯỜNG 26, Quận Bình Thạnh",10.812628,106.715197,Bình Thạnh,ngày mai,03,26°,Có mây,NTN 13 km/h,92%,,2025-08-25 13:55:22.973404
XÔ VIẾT NGHỆ TĨNH,"693 XÔ VIẾT NGHỆ TĨNH , PHƯỜNG 26, Quận Bình Thạnh",10.812628,106.715197,Bình Thạnh,ngày mai,04,25°,Có mây,NTN 13 km/h,96%,,2025-08-25 13:55:22.973404
XÔ VIẾT NGHỆ TĨNH,"693 XÔ VIẾT NGHỆ TĨNH , PHƯỜNG 26, Quận Bình Thạnh",10.812628,106.715197,Bình Thạnh,ngày mai,05,26°,Có mây,NTN 11 km/h,92%,,2025-08-25 13:55:22.973404
XÔ VIẾT NGHỆ TĨNH,"693 XÔ VIẾT NGHỆ TĨNH , PHƯỜNG 26, Quận Bình Thạnh",10.812628,106.715197,Bình Thạnh,ngày mai,06,26°,Có mây,NTN 11 km/h,92%,0.1 (Thấp),2025-08-25 13:55:22.973404
XÔ VIẾT NGHỆ TĨNH,"693 XÔ VIẾT NGHỆ TĨNH , PHƯỜNG 26, Quận Bình Thạnh",10.812628,106.715197,Bình Thạnh,ngày mai,07,27°,Có mây,TN 13 km/h,91%,0.6 (Thấp),2025-08-25 13:55:22.973404
XÔ VIẾT NGHỆ TĨNH,"693 XÔ VIẾT NGHỆ TĨNH , PHƯỜNG 26, Quận Bình Thạnh",10.812628,106.715197,Bình Thạnh,ngày mai,08,28°,Có mây,TN 15 km/h,85%,0.6 (Thấp),2025-08-25 13:55:22.973404
XÔ VIẾT NGHỆ TĨNH,"693 XÔ VIẾT NGHỆ TĨNH , PHƯỜNG 26, Quận Bình Thạnh",10.812628,106.715197,Bình Thạnh,ngày mai,09,29°,Có mây,TN 17 km/h,80%,1.1 (Thấp),2025-08-25 13:55:22.973404
XÔ VIẾT NGHỆ TĨNH,"693 XÔ VIẾT NGHỆ TĨNH , PHƯỜNG 26, Quận Bình Thạnh",10.812628,106.715197,Bình Thạnh,ngày mai,10,30°,Có mây,TN 19 km/h,75%,1.8 (Thấp),2025-08-25 13:55:22.973404
XÔ VIẾT NGHỆ TĨNH,"693 XÔ VIẾT NGHỆ TĨNH , PHƯỜNG 26, Quận Bình Thạnh",10.812628,106.715197,Bình Thạnh,ngày mai,11,28°,Mưa,TTN 19 km/h,88%,1.8 (Thấp),2025-08-25 13:55:22.973404
XÔ VIẾT NGHỆ TĨNH,"693 XÔ VIẾT NGHỆ TĨNH , PHƯỜNG 26, Quận Bình Thạnh",10.812628,106.715197,Bình Thạnh,ngày mai,12,28°,Mưa,TTN 19 km/h,89%,2.1 (Thấp),2025-08-25 13:55:22.973404
XÔ VIẾT NGHỆ TĨNH,"693 XÔ VIẾT NGHỆ TĨNH , PHƯỜNG 26, Quận Bình Thạnh",10.812628,106.715197,Bình Thạnh,ngày mai,13,29°,Có mây,TTN 20 km/h,76%,5.1 (Trung bình),2025-08-25 13:55:22.973404
XÔ VIẾT NGHỆ TĨNH,"693 XÔ VIẾT NGHỆ TĨNH , PHƯỜNG 26, Quận Bình Thạnh",10.812628,106.715197,Bình Thạnh,ngày mai,14,30°,Mưa,TTN 20 km/h,74%,1.5 (Thấp),2025-08-25 13:55:22.973404
XÔ VIẾT NGHỆ TĨNH,"693 XÔ VIẾT NGHỆ TĨNH , PHƯỜNG 26, Quận Bình Thạnh",10.812628,106.715197,Bình Thạnh,ngày mai,15,31°,Mưa,TTN 20 km/h,68%,0.9 (Thấp),2025-08-25 13:55:22.973404
XÔ VIẾT NGHỆ TĨNH,"693 XÔ VIẾT NGHỆ TĨNH , PHƯỜNG 26, Quận Bình Thạnh",10.812628,106.715197,Bình Thạnh,ngày mai,16,30°,Có mây,TTN 20 km/h,71%,1.1 (Thấp),2025-08-25 13:55:22.973404
XÔ VIẾT NGHỆ TĨNH,"693 XÔ VIẾT NGHỆ TĨNH , PHƯỜNG 26, Quận Bình Thạnh",10.812628,106.715197,Bình Thạnh,ngày mai,17,29°,Mưa,TTN 19 km/h,81%,0.3 (Thấp),2025-08-25 13:55:22.973404
